title,authors,published,summary,url
Navigating the Deep: Signature Extraction on Deep Neural Networks,"['Haolin Liu', 'Adrien Siproudhis', 'Samuel Experton', 'Peter Lorenz', 'Christina Boura', 'Thomas Peyrin']",2025-06-20,"Neural network model extraction has emerged in recent years as an important security concern, as adversaries attempt to recover a network's parameters via black-box queries. A key step in this process is signature extraction, which aims to recover the absolute values of the network's weights layer by layer. Prior work, notably by Carlini et al. (2020), introduced a technique inspired by differential cryptanalysis to extract neural network parameters. However, their method suffers from several limitations that restrict its applicability to networks with a few layers only. Later works focused on improving sign extraction, but largely relied on the assumption that signature extraction itself was feasible.   In this work, we revisit and refine the signature extraction process by systematically identifying and addressing for the first time critical limitations of Carlini et al.'s signature extraction method. These limitations include rank deficiency and noise propagation from deeper layers. To overcome these challenges, we propose efficient algorithmic solutions for each of the identified issues, greatly improving the efficiency of signature extraction. Our approach permits the extraction of much deeper networks than was previously possible. We validate our method through extensive experiments on ReLU-based neural networks, demonstrating significant improvements in extraction depth and accuracy. For instance, our extracted network matches the target network on at least 95% of the input space for each of the eight layers of a neural network trained on the CIFAR-10 dataset, while previous works could barely extract the first three layers. Our results represent a crucial step toward practical attacks on larger and more complex neural network architectures.",http://arxiv.org/abs/2506.17047v1
MAWIFlow Benchmark: Realistic Flow-Based Evaluation for Network Intrusion Detection,"['Joshua Schraven', 'Alexander Windmann', 'Oliver Niggemann']",2025-06-20,"Benchmark datasets for network intrusion detection commonly rely on synthetically generated traffic, which fails to reflect the statistical variability and temporal drift encountered in operational environments. This paper introduces MAWIFlow, a flow-based benchmark derived from the MAWILAB v1.1 dataset, designed to enable realistic and reproducible evaluation of anomaly detection methods. A reproducible preprocessing pipeline is presented that transforms raw packet captures into flow representations conforming to the CICFlowMeter format, while preserving MAWILab's original anomaly labels. The resulting datasets comprise temporally distinct samples from January 2011, 2016, and 2021, drawn from trans-Pacific backbone traffic.   To establish reference baselines, traditional machine learning methods, including Decision Trees, Random Forests, XGBoost, and Logistic Regression, are compared to a deep learning model based on a CNN-BiLSTM architecture. Empirical results demonstrate that tree-based classifiers perform well on temporally static data but experience significant performance degradation over time. In contrast, the CNN-BiLSTM model maintains better performance, thus showing improved generalization. These findings underscore the limitations of synthetic benchmarks and static models, and motivate the adoption of realistic datasets with explicit temporal structure. All datasets, pipeline code, and model implementations are made publicly available to foster transparency and reproducibility.",http://arxiv.org/abs/2506.17041v1
Bayesian Joint Model of Multi-Sensor and Failure Event Data for Multi-Mode Failure Prediction,"['Sina Aghaee Dabaghan Fard', 'Minhee Kim', 'Akash Deep', 'Jaesung Lee']",2025-06-20,"Modern industrial systems are often subject to multiple failure modes, and their conditions are monitored by multiple sensors, generating multiple time-series signals. Additionally, time-to-failure data are commonly available. Accurately predicting a system's remaining useful life (RUL) requires effectively leveraging multi-sensor time-series data alongside multi-mode failure event data. In most existing models, failure modes and RUL prediction are performed independently, ignoring the inherent relationship between these two tasks. Some models integrate multiple failure modes and event prediction using black-box machine learning approaches, which lack statistical rigor and cannot characterize the inherent uncertainty in the model and data. This paper introduces a unified approach to jointly model the multi-sensor time-series data and failure time concerning multiple failure modes. This proposed model integrate a Cox proportional hazards model, a Convolved Multi-output Gaussian Process, and multinomial failure mode distributions in a hierarchical Bayesian framework with corresponding priors, enabling accurate prediction with robust uncertainty quantification. Posterior distributions are effectively obtained by Variational Bayes, and prediction is performed with Monte Carlo sampling. The advantages of the proposed model is validated through extensive numerical and case studies with jet-engine dataset.",http://arxiv.org/abs/2506.17036v1
Reframing Spatial Dependence as Geographic Feature Attribution,"['Chuan Chen', 'Peng Luo']",2025-06-20,"Spatial dependence, referring to the correlation between variable values observed at different geographic locations, is one of the most fundamental characteristics of spatial data. The presence of spatial dependence violates the classical statistical assumption of independent and identically distributed observations and implies a high degree of information redundancy within spatial datasets. However, this redundancy can also be interpreted as structured information, which has been widely leveraged in spatial modeling, prediction, and explanation tasks. With the rise of geospatial big data and the rapid advancement of deep learning and large models, effectively modeling and characterizing spatial dependence has become essential for enhancing the performance of spatial analysis and uncovering latent spatial processes. From a data-driven perspective, this study proposes a novel interpretation: spatial dependence can be understood as the contribution of geographic location -- specifically, latitude and longitude -- to the observed variation in target variables. To validate this hypothesis, we conduct simulation experiments in which data are generated based on known spatial processes. We train machine learning models to predict variable values using only coordinate information. Subsequently, XAI techniques are employed to quantify the contribution of spatial features. The resulting importance scores are then compared with local indicators of spatial association (LISA). Across a range of spatial process settings, we observe consistently high correlations (greater than 0.94) between coordinate-based contributions and LISA values. These findings offer a new data-driven perspective on spatial dependence, bridging traditional spatial statistical approaches with modern machine learning techniques.",http://arxiv.org/abs/2506.16996v1
RocketStack: A level-aware deep recursive ensemble learning framework with exploratory feature fusion and model pruning dynamics,['Çağatay Demirel'],2025-06-20,"Ensemble learning remains a cornerstone of machine learning, with stacking used to integrate predictions from multiple base learners through a meta-model. However, deep stacking remains rare, as most designs prioritize horizontal diversity over recursive depth due to model complexity, feature redundancy, and computational burden. To address these challenges, RocketStack, a level-aware recursive ensemble framework, is introduced and explored up to ten stacking levels, extending beyond prior architectures. The framework incrementally prunes weaker learners at each level, enabling deeper stacking without excessive complexity. To mitigate early performance saturation, mild Gaussian noise is added to out-of-fold (OOF) scores before pruning, and compared against strict OOF pruning. Further both per-level and periodic feature compressions are explored using attention-based selection, Simple, Fast, Efficient (SFE) filter, and autoencoders. Across 33 datasets (23 binary, 10 multi-class), linear-trend tests confirmed rising accuracy with depth in most variants, and the top performing meta-model at each level increasingly outperformed the strongest standalone ensemble. In the binary subset, periodic SFE with mild OOF-score randomization reached 97.08% at level 10, 5.14% above the strict-pruning configuration and cut runtime by 10.5% relative to no compression. In the multi-class subset, periodic attention selection reached 98.60% at level 10, exceeding the strongest baseline by 6.11%, while reducing runtime by 56.1% and feature dimensionality by 74% compared to no compression. These findings highlight mild randomization as an effective regularizer and periodic compression as a stabilizer. Echoing the design of multistage rockets in aerospace (prune, compress, propel) RocketStack achieves deep recursive ensembling with tractable complexity.",http://arxiv.org/abs/2506.16965v1
A deep learning and machine learning approach to predict neonatal death in the context of São Paulo,"['Mohon Raihan', 'Plabon Kumar Saha', 'Rajan Das Gupta', 'A Z M Tahmidul Kabir', 'Afia Anjum Tamanna', 'Md. Harun-Ur-Rashid', 'Adnan Bin Abdus Salam', 'Md Tanvir Anjum', 'A Z M Ahteshamul Kabir']",2025-06-20,"Neonatal death is still a concerning reality for underdeveloped and even some developed countries. Worldwide data indicate that 26.693 babies out of 1,000 births die, according to Macro Trades. To reduce this number, early prediction of endangered babies is crucial. Such prediction enables the opportunity to take ample care of the child and mother so that early child death can be avoided. In this context, machine learning was used to determine whether a newborn baby is at risk. To train the predictive model, historical data of 1.4 million newborns was used. Machine learning and deep learning techniques such as logical regression, K-nearest neighbor, random forest classifier, extreme gradient boosting (XGBoost), convolutional neural network, and long short-term memory (LSTM) were implemented using the dataset to identify the most accurate model for predicting neonatal mortality. Among the machine learning algorithms, XGBoost and random forest classifier achieved the best accuracy with 94%, while among the deep learning models, LSTM delivered the highest accuracy with 99%. Therefore, using LSTM appears to be the most suitable approach to predict whether precautionary measures for a child are necessary.",http://arxiv.org/abs/2506.16929v1
EHCube4P: Learning Epistatic Patterns Through Hypercube Graph Convolution Neural Network for Protein Fitness Function Estimation,"['Muhammad Daud', 'Philippe Charton', 'Cedric Damour', 'Jingbo Wang', 'Frederic Cadet']",2025-06-20,"Understanding the relationship between protein sequences and their functions is fundamental to protein engineering, but this task is hindered by the combinatorially vast sequence space and the experimental noise inherent in fitness measurements. In this study, we present a novel framework that models the sequence landscape as a hypercube $H(k,2)$ and integrates wavelet-based signal denoising with a graph convolutional neural network (GCN) to predict protein fitness across rugged fitness landscapes. Using a dataset of 419 experimentally measured mutant sequences of the Tobacco 5-Epi-Aristolochene Synthase (TEAS) enzyme, we preprocess the fitness signals using a 1-D discrete wavelet transform with a Daubechies-3 basis to suppress experimental noise while preserving local epistatic patterns. Our model comprises two GCN layers, allowing for beyond pairwise aggregation, followed by a multi-layer perceptron (MLP). We show that our approach, EHCube4P, generalizes well across different enzyme activity datasets and effectively captures higher-order mutational interactions. Performance varies with the ruggedness of the fitness landscape, with smoother signals yielding higher test set $r^2$ scores. These results demonstrate that combining wavelet preprocessing with graph-based deep learning enhances the robustness and generalization of fitness prediction, particularly for sparse and noisy biological datasets. The approach provides a scalable and interpretable framework for protein fitness estimation applicable to a broad range of combinatorial biological systems.",http://arxiv.org/abs/2506.16921v1
A Neural Operator based Hybrid Microscale Model for Multiscale Simulation of Rate-Dependent Materials,"['Dhananjeyan Jeyaraj', 'Hamidreza Eivazi', 'Jendrik-Alexander Tröger', 'Stefan Wittek', 'Stefan Hartmann', 'Andreas Rausch']",2025-06-20,"The behavior of materials is influenced by a wide range of phenomena occurring across various time and length scales. To better understand the impact of microstructure on macroscopic response, multiscale modeling strategies are essential. Numerical methods, such as the $\text{FE}^2$ approach, account for micro-macro interactions to predict the global response in a concurrent manner. However, these methods are computationally intensive due to the repeated evaluations of the microscale. This challenge has led to the integration of deep learning techniques into computational homogenization frameworks to accelerate multiscale simulations. In this work, we employ neural operators to predict the microscale physics, resulting in a hybrid model that combines data-driven and physics-based approaches. This allows for physics-guided learning and provides flexibility for different materials and spatial discretizations. We apply this method to time-dependent solid mechanics problems involving viscoelastic material behavior, where the state is represented by internal variables only at the microscale. The constitutive relations of the microscale are incorporated into the model architecture and the internal variables are computed based on established physical principles. The results for homogenized stresses ($<6\%$ error) show that the approach is computationally efficient ($\sim 100 \times$ faster).",http://arxiv.org/abs/2506.16918v1
RCNet: $ΔΣ$ IADCs as Recurrent AutoEncoders,"['Arnaud Verdant', 'William Guicquero', 'Jérôme Chossat']",2025-06-20,"This paper proposes a deep learning model (RCNet) for Delta-Sigma ($\Delta\Sigma$) ADCs. Recurrent Neural Networks (RNNs) allow to describe both modulators and filters. This analogy is applied to Incremental ADCs (IADC). High-end optimizers combined with full-custom losses are used to define additional hardware design constraints: quantized weights, signal saturation, temporal noise injection, devices area. Focusing on DC conversion, our early results demonstrate that $SNR$ defined as an Effective Number Of Bits (ENOB) can be optimized under a certain hardware mapping complexity. The proposed RCNet succeeded to provide design tradeoffs in terms of $SNR$ ($>$13bit) versus area constraints ($<$14pF total capacitor) at a given $OSR$ (80 samples). Interestingly, it appears that the best RCNet architectures do not necessarily rely on high-order modulators, leveraging additional topology exploration degrees of freedom.",http://arxiv.org/abs/2506.16903v1
Optimal Depth of Neural Networks,['Qian Qi'],2025-06-20,"Determining the optimal depth of a neural network is a fundamental yet challenging problem, typically resolved through resource-intensive experimentation. This paper introduces a formal theoretical framework to address this question by recasting the forward pass of a deep network, specifically a Residual Network (ResNet), as an optimal stopping problem. We model the layer-by-layer evolution of hidden representations as a sequential decision process where, at each layer, a choice is made between halting computation to make a prediction or continuing to a deeper layer for a potentially more refined representation. This formulation captures the intrinsic trade-off between accuracy and computational cost. Our primary theoretical contribution is a proof that, under a plausible condition of diminishing returns on the residual functions, the expected optimal stopping depth is provably finite, even in an infinite-horizon setting. We leverage this insight to propose a novel and practical regularization term, $\mathcal{L}_{\rm depth}$, that encourages the network to learn representations amenable to efficient, early exiting. We demonstrate the generality of our framework by extending it to the Transformer architecture and exploring its connection to continuous-depth models via free-boundary problems. Empirical validation on ImageNet confirms that our regularizer successfully induces the theoretically predicted behavior, leading to significant gains in computational efficiency without compromising, and in some cases improving, final model accuracy.",http://arxiv.org/abs/2506.16862v1
RS-Coded Adaptive Dynamic Network for Reliable Long-Term Information Transmission in Disturbed Multimode Fiber,"['Yang Hu', 'Minyu Fan', 'Kun Liu', 'Songsong Zhu', 'Nan Jiang', 'Sha Wang']",2025-06-20,"Multimode fiber (MMF), due to its large core diameter and high mode capacity, holds potential in high-speed communications. However, inherent modal dispersion causes output speckle distortion, and transmission characteristics are sensitive to environmental disturbances, limiting its reliable application. Conventional transmission matrix (TM) methods face challenges such as complex calibration and environmental sensitivity. Although current deep learning approaches demonstrate reconstruction potential, they struggle to overcome error accumulation caused by fiber mode drift and lack sufficient environmental adaptability. To address this, the present study proposes an adaptive transmission framework named Residual Reed-Solomon Dynamic Network (RRSDN), which integrates Reed-Solomon (RS) error correction coding with deep residual learning forming a closed-loop system that jointly optimizes encoding, transmission, and reconstruction, to tackle the key challenges of mode instability and error accumulation in dynamic scattering channels. Experimentally, high-fidelity real-time transmission of a 16*16 pixel video stream (H.265 compressed) with zero frame loss and 100% symbol accuracy was achieved under conditions of a 100-meter MMF with manually applied disturbances and no temperature control. This work proposes a solution for stable optical transmission in complex channels. Plus, it integrates error correction coding with neural network training, laying the foundation for adaptive optical systems in longer-distance and more complex scenarios.",http://arxiv.org/abs/2506.16859v1
Beyond Blur: A Fluid Perspective on Generative Diffusion Models,"['Grzegorz Gruszczynski', 'Michal Jan Wlodarczyk', 'Jakub J Meixner', 'Przemyslaw Musialski']",2025-06-20,"We propose a novel PDE-driven corruption process for generative image synthesis based on advection-diffusion processes which generalizes existing PDE-based approaches. Our forward pass formulates image corruption via a physically motivated PDE that couples directional advection with isotropic diffusion and Gaussian noise, controlled by dimensionless numbers (Peclet, Fourier). We implement this PDE numerically through a GPU-accelerated custom Lattice Boltzmann solver for fast evaluation. To induce realistic turbulence, we generate stochastic velocity fields that introduce coherent motion and capture multi-scale mixing. In the generative process, a neural network learns to reverse the advection-diffusion operator thus constituting a novel generative model. We discuss how previous methods emerge as specific cases of our operator, demonstrating that our framework generalizes prior PDE-based corruption techniques. We illustrate how advection improves the diversity and quality of the generated images while keeping the overall color palette unaffected. This work bridges fluid dynamics, dimensionless PDE theory, and deep generative modeling, offering a fresh perspective on physically informed image corruption processes for diffusion-based synthesis.",http://arxiv.org/abs/2506.16827v1
Integrating Traditional Technical Analysis with AI: A Multi-Agent LLM-Based Approach to Stock Market Forecasting,"['Michał Wawer', 'Jarosław A. Chudziak']",2025-06-20,"Traditional technical analysis methods face limitations in accurately predicting trends in today's complex financial markets. This paper introduces ElliottAgents, an multi-agent system that integrates the Elliott Wave Principle with AI for stock market forecasting. The inherent complexity of financial markets, characterized by non-linear dynamics, noise, and susceptibility to unpredictable external factors, poses significant challenges for accurate prediction. To address these challenges, the system employs LLMs to enhance natural language understanding and decision-making capabilities within a multi-agent framework. By leveraging technologies such as Retrieval-Augmented Generation (RAG) and Deep Reinforcement Learning (DRL), ElliottAgents performs continuous, multi-faceted analysis of market data to identify wave patterns and predict future price movements. The research explores the system's ability to process historical stock data, recognize Elliott wave patterns, and generate actionable insights for traders. Experimental results, conducted on historical data from major U.S. companies, validate the system's effectiveness in pattern recognition and trend forecasting across various time frames. This paper contributes to the field of AI-driven financial analysis by demonstrating how traditional technical analysis methods can be effectively combined with modern AI approaches to create more reliable and interpretable market prediction systems.",http://arxiv.org/abs/2506.16813v1
Transformers for Stratified Spectropolarimetric Inversion: Proof of Concept,"['Ryan James Campbell', 'Mihalis Mathioudakis', 'Carlos Quintero Noda']",2025-06-20,"Solar spectropolarimetric inversion -- inferring atmospheric conditions from the Stokes vector -- is a key diagnostic tool for understanding solar magnetism, but traditional inversion methods are computationally expensive and sensitive to local minima. Advances in artificial intelligence (AI) offer faster solutions, but are often restricted to shallow models or a few spectral lines. We present a proof-of-concept study using a transformer machine learning (ML) model for multi-line, full-Stokes inversion, to infer stratified parameters from synthetic spectra produced from 3D magnetohydrodynamic simulations. We synthesise a large set of Stokes vectors using forward modelling across 15 spectral lines spanning the deep photosphere towards the chromosphere. The model maps full-Stokes input to temperature, magnetic field strength, inclination, azimuth (encoded as $\sin2\phi$, $\cos2\phi$), and line-of-sight velocity as a function of optical depth. The transformer incorporates an attention mechanism that allows the model to focus on the most informative regions of the spectrum for each inferred parameter, and uses positional embedding to encode wavelength and depth order. We benchmark it against a multilayer perceptron (MLP), test robustness to noise, and assess generalisation. The transformer outperforms the MLP, especially in the higher layers and for magnetic parameters, yielding higher correlations and more regularised stratifications. The model retains strong performance across a range of noise levels typical for real observations, with magnetic parameter inference degrading predictably while temperature and velocity remain stable. We establish transformer architectures as a powerful tool for spectropolarimetric regression. This approach paves the way for analysis of large datasets from large solar telescopes.",http://arxiv.org/abs/2506.16810v1
TabArena: A Living Benchmark for Machine Learning on Tabular Data,"['Nick Erickson', 'Lennart Purucker', 'Andrej Tschalzev', 'David Holzmüller', 'Prateek Mutalik Desai', 'and David Salinas', 'Frank Hutter']",2025-06-20,"With the growing popularity of deep learning and foundation models for tabular data, the need for standardized and reliable benchmarks is higher than ever. However, current benchmarks are static. Their design is not updated even if flaws are discovered, model versions are updated, or new models are released. To address this, we introduce TabArena, the first continuously maintained living tabular benchmarking system. To launch TabArena, we manually curate a representative collection of datasets and well-implemented models, conduct a large-scale benchmarking study to initialize a public leaderboard, and assemble a team of experienced maintainers. Our results highlight the influence of validation method and ensembling of hyperparameter configurations to benchmark models at their full potential. While gradient-boosted trees are still strong contenders on practical tabular datasets, we observe that deep learning methods have caught up under larger time budgets with ensembling. At the same time, foundation models excel on smaller datasets. Finally, we show that ensembles across models advance the state-of-the-art in tabular machine learning and investigate the contributions of individual models. We launch TabArena with a public leaderboard, reproducible code, and maintenance protocols to create a living benchmark available at https://tabarena.ai.",http://arxiv.org/abs/2506.16791v1
Exploring and Improving Initialization for Deep Graph Neural Networks: A Signal Propagation Perspective,"['Senmiao Wang', 'Yupeng Chen', 'Yushun Zhang', 'Ruoyu Sun', 'Tian Ding']",2025-06-20,"Graph Neural Networks (GNNs) often suffer from performance degradation as the network depth increases. This paper addresses this issue by introducing initialization methods that enhance signal propagation (SP) within GNNs. We propose three key metrics for effective SP in GNNs: forward propagation, backward propagation, and graph embedding variation (GEV). While the first two metrics derive from classical SP theory, the third is specifically designed for GNNs. We theoretically demonstrate that a broad range of commonly used initialization methods for GNNs, which exhibit performance degradation with increasing depth, fail to control these three metrics simultaneously. To deal with this limitation, a direct exploitation of the SP analysis--searching for weight initialization variances that optimize the three metrics--is shown to significantly enhance the SP in deep GCNs. This approach is called Signal Propagation on Graph-guided Initialization (SPoGInit). Our experiments demonstrate that SPoGInit outperforms commonly used initialization methods on various tasks and architectures. Notably, SPoGInit enables performance improvements as GNNs deepen, which represents a significant advancement in addressing depth-related challenges and highlights the validity and effectiveness of the SP analysis framework.",http://arxiv.org/abs/2506.16790v1
